"Items","Size","Frequency","Support","Score"
"mineral water, carrots",2,40,0.005332622317024397,1.4591965762085402
"chicken, light cream",2,34,0.004532728969470737,4.84395061728395
"spaghetti, light cream",2,40,0.005332622317024397,1.9635868640462821
"mineral water, light cream",2,55,0.007332355685908546,1.9720979368630378
"shrimp, pasta",2,38,0.005065991201173177,4.506672147735896
"escalope, pasta",2,44,0.005865884548726837,4.700811850163794
"mineral water, white wine",2,33,0.004399413411545127,1.116461896514397
"spaghetti, white wine",2,34,0.004532728969470737,1.5748283357209898
"mineral water, mint",2,44,0.005865884548726837,1.4090715029800023
"spaghetti, protein bar",2,38,0.005065991201173177,1.5701631650269372
"mineral water, protein bar",2,58,0.007732302359685375,1.7505110005954967
"ground beef, rice",2,33,0.004399413411545127,2.3820260400127022
"french fries, rice",2,36,0.004799360085321957,1.4938759252497757
"spaghetti, rice",2,38,0.005065991201173177,1.5478913470832925
"chocolate, rice",2,40,0.005332622317024397,1.7314428498058154
"mineral water, rice",2,58,0.007732302359685375,1.7256810573246386
"spaghetti, mushroom cream sauce",2,32,0.004266097853619517,1.2852568564666573
"chocolate, mushroom cream sauce",2,33,0.004399413411545127,1.4084621643612694
"french fries, mushroom cream sauce",2,35,0.004666044527396347,1.4320663735640338
"escalope, mushroom cream sauce",2,43,0.005732568990801226,3.79083269671505
"chocolate, parmesan cheese",2,32,0.004266097853619517,1.3107835802556778
"eggs, parmesan cheese",2,34,0.004532728969470737,1.269760818911437
"mineral water, parmesan cheese",2,35,0.004666044527396347,0.9854473522213715
"frozen vegetables, parmesan cheese",2,41,0.005465937874950006,2.8867602196461255
"spaghetti, parmesan cheese",2,51,0.006799093454206106,1.9658930902288867
"french fries, almonds",2,33,0.004399413411545127,1.2619834205132912
"green tea, almonds",2,38,0.005065991201173177,1.8799126781556887
"burgers, almonds",2,39,0.005199306759098787,2.9235773820231454
"milk, almonds",2,39,0.005199306759098787,1.9670983619785365
"chocolate, almonds",2,45,0.005999200106652446,1.7950988369310292
"spaghetti, almonds",2,45,0.005999200106652446,1.6892622286280514
"eggs, almonds",2,49,0.006532462338354886,1.7821076007059597
"mineral water, almonds",2,57,0.007598986801759766,1.5629139799096372
"eggs, meatballs",2,33,0.004399413411545127,1.1696167003723374
"milk, meatballs",2,41,0.005465937874950006,2.0152879347854578
"spaghetti, meatballs",2,48,0.006399146780429276,1.7559719472108157
"mineral water, meatballs",2,58,0.007732302359685375,1.549815471864803
"spaghetti, strawberries",2,31,0.0041327822956939075,1.112801493108729
"mineral water, strawberries",2,38,0.005065991201173177,0.9963576621923937
"french fries, strawberries",2,43,0.005732568990801226,1.572460023400936
"frozen vegetables, fresh tuna",2,31,0.0041327822956939075,1.9474142623843222
"milk, fresh tuna",2,36,0.004799360085321957,1.6635617653581725
"chocolate, fresh tuna",2,36,0.004799360085321957,1.3156892074272935
"pancakes, fresh tuna",2,38,0.005065991201173177,2.3938490480469636
"eggs, fresh tuna",2,44,0.005865884548726837,1.4661063629417723
"spaghetti, fresh tuna",2,51,0.006799093454206106,1.754000421820983
"mineral water, fresh tuna",2,66,0.008798826823090255,1.6579793433267696
"burgers, french wine",2,31,0.0041327822956939075,2.103857915784521
"pancakes, french wine",2,31,0.0041327822956939075,1.9297658862876255
"milk, french wine",2,37,0.004932675643247567,1.6895378284267173
"chocolate, french wine",2,39,0.005199306759098787,1.4084621643612694
"eggs, french wine",2,45,0.005999200106652446,1.4816822643232137
"spaghetti, french wine",2,58,0.007732302359685375,1.971139121215691
"mineral water, french wine",2,62,0.008265564591387815,1.5390638444329718
"milk, oil",2,31,0.0041327822956939075,1.38282903970123
"green tea, oil",2,31,0.0041327822956939075,1.3563166766797128
"spaghetti, oil",2,43,0.005732568990801226,1.427573051013995
"chocolate, oil",2,46,0.0061325156645780565,1.6228523589364914
"mineral water, oil",2,55,0.007332355685908546,1.3337309746414765
"mineral water, muffins",2,33,0.004399413411545127,0.764868923578924
"french fries, muffins",2,40,0.005332622317024397,1.2930417769196956
"frozen vegetables, vegetables mix",2,33,0.004399413411545127,1.793782383419689
"milk, vegetables mix",2,33,0.004399413411545127,1.319500415787117
"chocolate, vegetables mix",2,36,0.004799360085321957,1.138446101763513
"eggs, vegetables mix",2,36,0.004799360085321957,1.0379452960440338
"green tea, vegetables mix",2,38,0.005065991201173177,1.4902934702477741
"french fries, vegetables mix",2,42,0.005599253432875617,1.27327766685797
"spaghetti, vegetables mix",2,42,0.005599253432875617,1.2498789961040713
"mineral water, vegetables mix",2,59,0.007865617917610986,1.282467457198827
"frozen vegetables, cereals",2,32,0.004266097853619517,1.7394253414978802
"ground beef, cereals",2,34,0.004532728969470737,1.7929710842865278
"pancakes, cereals",2,35,0.004666044527396347,1.90783306324441
"french fries, cereals",2,36,0.004799360085321957,1.0913808573068313
"chocolate, cereals",2,42,0.005599253432875617,1.3281871187240986
"green tea, cereals",2,49,0.006532462338354886,1.9216942116352878
"spaghetti, cereals",2,50,0.006665777896280496,1.4879511858381802
"milk, cereals",2,53,0.007065724570057326,2.119197637476279
"mineral water, cereals",2,77,0.010265297960271964,1.6737287153272828
"eggs, pepper",2,35,0.004666044527396347,0.9786879501364389
"pancakes, pepper",2,36,0.004799360085321957,1.9031764714173953
"milk, pepper",2,38,0.005065991201173177,1.4736129205699278
"green tea, pepper",2,39,0.005199306759098787,1.4833957882246755
"chocolate, pepper",2,48,0.006399146780429276,1.4721614582268543
"ground beef, pepper",2,49,0.006532462338354886,2.5060785610549354
"mineral water, pepper",2,62,0.008265564591387815,1.3070441693928254
"spaghetti, pepper",2,74,0.009865351286495135,2.1357707373005916
"whole wheat rice, ham",2,32,0.004266097853619517,2.7475875962958294
"pancakes, ham",2,34,0.004532728969470737,1.79744444522754
"ground beef, ham",2,37,0.004932675643247567,1.892345035898625
"milk, ham",2,37,0.004932675643247567,1.4348336331865088
"green tea, ham",2,37,0.004932675643247567,1.407324209341359
"burgers, ham",2,42,0.005599253432875617,2.420681388594348
"french fries, ham",2,42,0.005599253432875617,1.2348873854451667
"chocolate, ham",2,47,0.006265831222503666,1.441491427847128
"eggs, ham",2,47,0.006265831222503666,1.3142381044689322
"spaghetti, ham",2,69,0.009198773496867084,1.9914619036992003
"mineral water, ham",2,69,0.009198773496867084,1.4546136723887897
"spaghetti, energy drink",2,32,0.004266097853619517,0.9189586523736599
"eggs, energy drink",2,37,0.004932675643247567,1.0294399109792285
"mineral water, energy drink",2,42,0.005599253432875617,0.880989932885906
"french fries, energy drink",2,46,0.0061325156645780565,1.3457332293291733
"frozen vegetables, energy bar",2,31,0.0041327822956939075,1.6020600089565606
"spaghetti, energy bar",2,33,0.004399413411545127,0.9336710445914649
"french fries, energy bar",2,36,0.004799360085321957,1.037618253498613
"eggs, energy bar",2,39,0.005199306759098787,1.0690495680519216
"milk, energy bar",2,41,0.005465937874950006,1.5586217032577185
"mineral water, energy bar",2,51,0.006799093454206106,1.0539640294905281
"frozen vegetables, light mayo",2,33,0.004399413411545127,1.697058823529412
"green tea, light mayo",2,33,0.004399413411545127,1.2244168101145605
"chocolate, light mayo",2,38,0.005065991201173177,1.1368959300563186
"pancakes, light mayo",2,41,0.005465937874950006,2.1143813766740918
"eggs, light mayo",2,41,0.005465937874950006,1.1183634433001686
"mineral water, light mayo",2,47,0.006265831222503666,0.9665389086283283
"french fries, light mayo",2,55,0.007332355685908546,1.5774792756416143
"chocolate, yogurt cake",2,33,0.004399413411545127,0.9824882414812756
"eggs, yogurt cake",2,34,0.004532728969470737,0.9228993269161178
"french fries, yogurt cake",2,38,0.005065991201173177,1.0845782123967886
"mineral water, yogurt cake",2,42,0.005599253432875617,0.8595023735472254
"green tea, red wine",2,35,0.004666044527396347,1.255541580384599
"ground beef, red wine",2,36,0.004799360085321957,1.7364877465323105
"chocolate, red wine",2,37,0.004932675643247567,1.070253240217647
"french fries, red wine",2,40,0.005332622317024397,1.1091969745140517
"eggs, red wine",2,53,0.007065724570057326,1.3977280717791498
"spaghetti, red wine",2,77,0.010265297960271964,2.095966120638976
"mineral water, red wine",2,82,0.010931875749900012,1.6303582599107267
"ground beef, whole wheat pasta",2,34,0.004532728969470737,1.5658073270013566
"pancakes, whole wheat pasta",2,35,0.004666044527396347,1.6661166570414983
"frozen vegetables, whole wheat pasta",2,37,0.004932675643247567,1.7563965446318388
"eggs, whole wheat pasta",2,37,0.004932675643247567,0.9316198289404783
"green tea, whole wheat pasta",2,39,0.005199306759098787,1.3357274292158843
"french fries, whole wheat pasta",2,41,0.005465937874950006,1.0854822428191244
"chocolate, whole wheat pasta",2,47,0.006265831222503666,1.297994543627052
"olive oil, whole wheat pasta",2,60,0.007998933475536596,4.122410097642296
"spaghetti, whole wheat pasta",2,66,0.008798826823090255,1.7152508782992524
"mineral water, whole wheat pasta",2,72,0.009598720170643914,1.3667587840505329
"milk, whole wheat pasta",2,74,0.009865351286495135,2.5839990317114503
"pancakes, butter",2,31,0.0041327822956939075,1.4430550211619855
"chicken, butter",2,32,0.004266097853619517,2.360196656833825
"low fat yogurt, butter",2,33,0.004399413411545127,1.9081511516758658
"milk, butter",2,46,0.0061325156645780565,1.5707327287956592
"french fries, butter",2,46,0.0061325156645780565,1.1909143622382066
"eggs, butter",2,46,0.0061325156645780565,1.1326054988051786
"spaghetti, butter",2,47,0.006265831222503666,1.194442938649392
"green tea, butter",2,55,0.007332355685908546,1.8420429886679228
"chocolate, butter",2,62,0.008265564591387815,1.6743665257746063
"fresh bread, tomato juice",2,32,0.004266097853619517,3.2593558198902826
"pancakes, tomato juice",2,37,0.004932675643247567,1.707247607096282
"frozen vegetables, tomato juice",2,37,0.004932675643247567,1.7024720893141947
"eggs, tomato juice",2,38,0.005065991201173177,0.9274233432245301
"milk, tomato juice",2,43,0.005732568990801226,1.4554138690347265
"chocolate, tomato juice",2,44,0.005865884548726837,1.1778367807231667
"green tea, tomato juice",2,47,0.006265831222503666,1.560301485297502
"french fries, tomato juice",2,53,0.007065724570057326,1.3601041410077457
"spaghetti, tomato juice",2,56,0.007465671243834155,1.410682141801671
"mineral water, tomato juice",2,72,0.009598720170643914,1.3247968915577533
"frozen vegetables, cottage cheese",2,31,0.0041327822956939075,1.3607455306200076
"cake, cottage cheese",2,33,0.004399413411545127,1.7034587645892976
"milk, cottage cheese",2,35,0.004666044527396347,1.1301160528264202
"frozen smoothie, cottage cheese",2,37,0.004932675643247567,2.4447214269984587
"chocolate, cottage cheese",2,37,0.004932675643247567,0.9448679233720647
"pancakes, cottage cheese",2,39,0.005199306759098787,1.7167076469863327
"eggs, cottage cheese",2,42,0.005599253432875617,0.977868964404107
"french fries, cottage cheese",2,44,0.005865884548726837,1.0771741329904243
"green tea, cottage cheese",2,48,0.006399146780429276,1.5201584131661943
"spaghetti, cottage cheese",2,52,0.006932409012131715,1.2496299666169015
"mineral water, cottage cheese",2,72,0.009598720170643914,1.263822976046727
"pancakes, hot dogs",2,32,0.004266097853619517,1.3853941209403262
"milk, hot dogs",2,33,0.004399413411545127,1.0479982726210437
"frozen smoothie, hot dogs",2,36,0.004799360085321957,2.339493177387914
"chocolate, hot dogs",2,41,0.005465937874950006,1.0297809788814218
"green tea, hot dogs",2,50,0.006665777896280496,1.5574325306358048
"french fries, hot dogs",2,55,0.007332355685908546,1.324303589427528
"spaghetti, hot dogs",2,65,0.008665511265164644,1.5363249075176932
"mineral water, hot dogs",2,69,0.009198773496867084,1.1912268345899966
"cake, avocado",2,32,0.004266097853619517,1.579157894736842
"soup, avocado",2,33,0.004399413411545127,2.612485488126649
"pancakes, avocado",2,33,0.004399413411545127,1.3886844319775595
"burgers, avocado",2,34,0.004532728969470737,1.5598409785932719
"frozen vegetables, avocado",2,35,0.004666044527396347,1.4687272727272727
"frozen smoothie, avocado",2,38,0.005065991201173177,2.4003200000000002
"eggs, avocado",2,42,0.005599253432875617,0.9348427299703264
"green tea, avocado",2,47,0.006265831222503666,1.4229949545913219
"chocolate, avocado",2,53,0.007065724570057326,1.293907241659886
"milk, avocado",2,56,0.007465671243834155,1.728625514403292
"french fries, avocado",2,60,0.007998933475536596,1.4042433697347896
"spaghetti, avocado",2,60,0.007998933475536596,1.37843797856049
"mineral water, avocado",2,87,0.011598453539528063,1.4599261744966443
"frozen vegetables, brownies",2,33,0.004399413411545127,1.3683794466403163
"ground beef, brownies",2,37,0.004932675643247567,1.4884453049163098
"chocolate, brownies",2,37,0.004932675643247567,0.8925827418415948
"cake, brownies",2,41,0.005465937874950006,1.9993043998335758
"pancakes, brownies",2,41,0.005465937874950006,1.7048766831680422
"milk, brownies",2,41,0.005465937874950006,1.2505936986613313
"green tea, brownies",2,50,0.006665777896280496,1.4958739325869586
"spaghetti, brownies",2,55,0.007332355685908546,1.2485851255076903
"eggs, brownies",2,55,0.007332355685908546,1.2096826215972132
"french fries, brownies",2,59,0.007865617917610986,1.3644657248740544
"mineral water, brownies",2,72,0.009598720170643914,1.1938881078069872
"turkey, salmon",2,31,0.0041327822956939075,1.5542373221220367
"pancakes, salmon",2,32,0.004266097853619517,1.0553315717507814
"burgers, salmon",2,34,0.004532728969470737,1.2224459079884578
"shrimp, salmon",2,35,0.004666044527396347,1.5354360641931408
"tomatoes, salmon",2,37,0.004932675643247567,1.695949207745941
"frozen smoothie, salmon",2,38,0.005065991201173177,1.881128526645768
"grated cheese, salmon",2,39,0.005199306759098787,2.333460958625476
"olive oil, salmon",2,43,0.005732568990801226,2.046774459660122
"green tea, salmon",2,44,0.005865884548726837,1.0440168412262083
"french fries, salmon",2,44,0.005865884548726837,0.8070364193878101
"frozen vegetables, salmon",2,47,0.006265831222503666,1.5456825306355086
"eggs, salmon",2,62,0.008265564591387815,1.0815093532273519
"ground beef, salmon",2,67,0.008932142381015865,2.1376460530065544
"milk, salmon",2,73,0.009732035728569524,1.7659771404982136
"chocolate, salmon",2,80,0.010665244634048793,1.5306171901104701
"spaghetti, salmon",2,101,0.013464871350486601,1.8184722548930183
"mineral water, salmon",2,128,0.017064391414478068,1.6833364891684723
"mineral water, milk, salmon",3,33,0.004399413411545127,3.3490976335305715
"mineral water, chocolate, salmon",3,34,0.004532728969470737,2.729022822026242
"mineral water, spaghetti, salmon",3,51,0.006799093454206106,3.852184971213919
"frozen smoothie, fresh bread",2,32,0.004266097853619517,1.5644907935473358
"low fat yogurt, fresh bread",2,32,0.004266097853619517,1.294657015566175
"cake, fresh bread",2,33,0.004399413411545127,1.2604540084731952
"tomatoes, fresh bread",2,35,0.004666044527396347,1.5844090791133318
"olive oil, fresh bread",2,38,0.005065991201173177,1.7863777089783281
"chicken, fresh bread",2,39,0.005199306759098787,2.0126522187822498
"shrimp, fresh bread",2,39,0.005199306759098787,1.689726676216441
"pancakes, fresh bread",2,40,0.005332622317024397,1.3028280626489912
"ground beef, fresh bread",2,46,0.0061325156645780565,1.449462510134383
"green tea, fresh bread",2,48,0.006399146780429276,1.1248230982870604
"frozen vegetables, fresh bread",2,51,0.006799093454206106,1.6564593301435406
"french fries, fresh bread",2,62,0.008265564591387815,1.1231048622749864
"eggs, fresh bread",2,65,0.008665511265164644,1.1197990831503615
"spaghetti, fresh bread",2,68,0.009065457938941474,1.2091561215442894
"milk, fresh bread",2,69,0.009198773496867084,1.648539922791729
"chocolate, fresh bread",2,71,0.009465404612718305,1.3416001833905589
"mineral water, fresh bread",2,100,0.013331555792560993,1.2988204819193663
"frozen smoothie, champagne",2,35,0.004666044527396347,1.5746588693957115
"frozen vegetables, champagne",2,36,0.004799360085321957,1.0759906759906759
"pancakes, champagne",2,38,0.005065991201173177,1.138953820580749
"milk, champagne",2,40,0.005332622317024397,0.8794391098917849
"spaghetti, champagne",2,50,0.006665777896280496,0.8181611933526177
"eggs, champagne",2,50,0.006665777896280496,0.7926695241235302
"mineral water, champagne",2,56,0.007465671243834155,0.6693180876626067
"green tea, champagne",2,62,0.008265564591387815,1.33699592629966
"french fries, champagne",2,70,0.009332089054792695,1.1668688969781014
"chocolate, champagne",2,87,0.011598453539528063,1.5127926950546966
"grated cheese, honey",2,31,0.0041327822956939075,1.6620279040512334
"chicken, honey",2,31,0.0041327822956939075,1.4515043695380774
"shrimp, honey",2,33,0.004399413411545127,1.2972339845715242
"cake, honey",2,33,0.004399413411545127,1.143614170609107
"olive oil, honey",2,36,0.004799360085321957,1.5354819633353045
"tomatoes, honey",2,40,0.005332622317024397,1.6429025122106138
"turkey, honey",2,43,0.005732568990801226,1.9318116480199323
"eggs, honey",2,43,0.005732568990801226,0.6721214116627212
"frozen smoothie, honey",2,44,0.005865884548726837,1.9517681845062094
"burgers, honey",2,47,0.006265831222503666,1.5142210425042089
"pancakes, honey",2,50,0.006665777896280496,1.4775753659958712
"ground beef, honey",2,51,0.006799093454206106,1.4580481148903084
"frozen vegetables, honey",2,57,0.007598986801759766,1.6797242083758939
"milk, honey",2,58,0.007732302359685375,1.2572767836500671
"chocolate, honey",2,60,0.007998933475536596,1.0286521425110393
"french fries, honey",2,67,0.008932142381015865,1.101173990779856
"green tea, honey",2,70,0.009332089054792695,1.4883105250626425
"spaghetti, honey",2,89,0.011865084655379284,1.4358728943338437
"mineral water, honey",2,113,0.015064658045593921,1.3316193474599702
"burgers, herb & pepper",2,31,0.0041327822956939075,0.958361153012356
"tomatoes, herb & pepper",2,33,0.004399413411545127,1.300594252927917
"cake, herb & pepper",2,34,0.004532728969470737,1.1306302312384735
"turkey, herb & pepper",2,36,0.004799360085321957,1.5519399536778946
"chicken, herb & pepper",2,37,0.004932675643247567,1.6623959269242288
"olive oil, herb & pepper",2,38,0.005065991201173177,1.5552560646900269
"cooking oil, herb & pepper",2,40,0.005332622317024397,2.1115748136783656
"low fat yogurt, herb & pepper",2,44,0.005865884548726837,1.5498370540116644
"frozen vegetables, herb & pepper",2,45,0.005999200106652446,1.2724822347463856
"green tea, herb & pepper",2,48,0.006399146780429276,0.9792934251933166
"grated cheese, herb & pepper",2,49,0.006532462338354886,2.5208603389505013
"french fries, herb & pepper",2,52,0.006932409012131715,0.82008822131861
"shrimp, herb & pepper",2,53,0.007065724570057326,1.9992004264392322
"pancakes, herb & pepper",2,55,0.007332355685908546,1.5596186342964504
"chocolate, herb & pepper",2,68,0.009065457938941474,1.1186707576777735
"milk, herb & pepper",2,69,0.009198773496867084,1.4352517387108583
"eggs, herb & pepper",2,94,0.012531662445007332,1.4098834651715229
"ground beef, herb & pepper",2,120,0.015997866951073192,3.291993841134928
"spaghetti, herb & pepper",2,122,0.01626449806692441,1.8886953434903386
"mineral water, herb & pepper",2,128,0.017064391414478068,1.447397142977743
"mineral water, milk, herb & pepper",3,31,0.0041327822956939075,2.705156129868808
"eggs, ground beef, herb & pepper",3,31,0.0041327822956939075,4.732261497730873
"eggs, spaghetti, herb & pepper",3,36,0.004799360085321957,3.1012291176652544
"mineral water, eggs, herb & pepper",3,40,0.005332622317024397,2.516906057463847
"spaghetti, ground beef, herb & pepper",3,48,0.006399146780429276,7.563015559679355
"mineral water, ground beef, herb & pepper",3,50,0.006665777896280496,5.754391732464834
"mineral water, spaghetti, herb & pepper",3,45,0.005999200106652446,2.9225788944440465
"turkey, soup",2,37,0.004932675643247567,1.5613808079842029
"cooking oil, soup",2,40,0.005332622317024397,2.067003313653492
"shrimp, soup",2,42,0.005599253432875617,1.550830937659985
"low fat yogurt, soup",2,43,0.005732568990801226,1.4826427514180909
"chicken, soup",2,45,0.005999200106652446,1.979155672823219
"cake, soup",2,46,0.0061325156645780565,1.4973875156228302
"burgers, soup",2,47,0.006265831222503666,1.4223290003469615
"pancakes, soup",2,51,0.006799093454206106,1.4156653480222183
"tomatoes, soup",2,52,0.006932409012131715,2.0061616956492667
"green tea, soup",2,53,0.007065724570057326,1.058478815939764
"french fries, soup",2,57,0.007598986801759766,0.8799678108496373
"frozen vegetables, soup",2,60,0.007998933475536596,1.6608299352362679
"olive oil, soup",2,67,0.008932142381015865,2.684279961116512
"eggs, soup",2,68,0.009065457938941474,0.998387134658597
"ground beef, soup",2,73,0.009732035728569524,1.960357722063704
"chocolate, soup",2,76,0.010131982402346354,1.223887966920786
"spaghetti, soup",2,107,0.014264764698040262,1.6215134532318871
"milk, soup",2,114,0.015197973603519531,2.3212319619531585
"mineral water, soup",2,173,0.023063591521130515,1.9149548735929356
"mineral water, pancakes, soup",3,32,0.004266097853619517,3.726422169764323
"mineral water, frozen vegetables, soup",3,38,0.005065991201173177,4.412748350856407
"mineral water, olive oil, soup",3,39,0.005199306759098787,6.554948208162736
"mineral water, eggs, soup",3,37,0.004932675643247567,2.27899534635925
"mineral water, ground beef, soup",3,38,0.005065991201173177,4.281024519487558
"mineral water, chocolate, soup",3,42,0.005599253432875617,2.8374552048352935
"spaghetti, milk, soup",3,34,0.004532728969470737,3.976203434786557
"mineral water, spaghetti, soup",3,56,0.007465671243834155,3.5602168930501032
"mineral water, milk, soup",3,64,0.008532195707239034,5.466952689386755
"frozen smoothie, cooking oil",2,36,0.004799360085321957,1.4843259584993815
"cake, cooking oil",2,37,0.004932675643247567,1.1918415899409098
"olive oil, cooking oil",2,38,0.005065991201173177,1.5065274151436032
"escalope, cooking oil",2,40,0.005332622317024397,1.3166290014700397
"whole wheat rice, cooking oil",2,41,0.005465937874950006,1.8291095951515726
"grated cheese, cooking oil",2,43,0.005732568990801226,2.1428723284103666
"turkey, cooking oil",2,43,0.005732568990801226,1.7956264926764907
